Underlying Cause of Death, 2023, age 0-19, Injury Mechanism
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Deaths,Population,Crude Rate
,"Non-Injury: Nephritis, nephrotic syndrome and nephrosis",GR113 097,64,81573961,0.1
,Non-Injury: Complications of medical and surgical care,GR113-135,62,81573961,0.1
,Other transport,GRINJ-012,51,81573961,0.1
,Non-Injury: Other acute lower respiratory infections,GR113 079,48,81573961,0.1
,Non-Injury: Other diseases of the circulatory system,GR113 073-074,47,81573961,0.1
,Non-Injury: Pneumonitis due to solids and liquids,GR113-088,38,81573961,0.0
,Machinery,GRINJ-007,32,81573961,0.0
,"Non-Injury: Other complications of pregnancy, childbirth and the puerperium",GR113-107,32,81573961,0.0
,Non-Injury: Other disorders of circulatory system,GR113-075,29,81573961,0.0
,Other Pedal cyclist,GRINJ-009,26,81573961,0.0
,Non-Injury: Nutritional Deficiencies,GR113 048-049,22,81573961,0.0
,Non-Injury: Hernia,GR113-092,11,81573961,Unreliable
,Non-Injury: Diseases of appendix,GR113-091,10,81573961,Unreliable
,Non-Injury: Chronic liver disease and cirrhosis,GR113 093,10,81573961,Unreliable
---,,,,,
"Dataset: Underlying Cause of Death, 2018-2023, Single Race",,,,,
Query Parameters:,,,,,
Single-Year Ages: < 1 year; 1 year; 2 years; 3 years; 4 years; 5 years; 6 years; 7 years; 8 years; 9 years; 10 years; 11 years;,,,,,
12 years; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years,,,,,
Year/Month: 2023,,,,,
Group By: Injury Mechanism & All Other Leading Causes,,,,,
Show Totals: True,,,,,
Show Zero Values: False,,,,,
Show Suppressed: False,,,,,
"Calculate Rates Per: 100,000",,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,
---,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,
---,,,,,
"Query Date: Apr 26, 2025 7:02:33 PM",,,,,
---,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,",,,,,
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Apr 26, 2025 7:02:33 PM",,,,,
---,,,,,
Messages:,,,,,
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above",,,,,
to show zero rows.,,,,,
"2. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use",,,,,
Quick Options above to show suppressed rows.,,,,,
---,,,,,
Caveats:,,,,,
1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality.,,,,,
2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable.,,,,,
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,",,,,,
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:",,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated.,,,,,
"4. The population figures for years 2023 are single-race estimates of the July 1 resident population, from the Vintage 2023",,,,,
"postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is based on the Modified Blended Base produced",,,,,
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend",,,,,
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data",,,,,
from the internal Census Edited File (CEF). The population figures for years 2022 are single-race estimates of the July 1,,,,,
"resident population, from the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is",,,,,
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The",,,,,
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic",,,,,
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2021 are",,,,,
"single-race estimates of the July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of",,,,,
"the April 1, 2020 decennial population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30,",,,,,
"2022. The population figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020",,,,,
"postcensal series based on April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year",,,,,
"2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010",,,,,
"Census, released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the",,,,,
"July 1 resident population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on",,,,,
"June 20, 2019. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data.",,,,,
5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age,,,,,
